
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_M%d.dat', M) binary matrix"

# Contour 0, label:  2.5e+03
-0.0622546 0.751672 2500 
-0.0570234 0.743024 2500 
-0.055925 0.741304 2500 
-0.0507377 0.730936 2500 
-0.0466555 0.722592 2500 
-0.045364 0.720569 2500 
-0.0388879 0.710201 2500 
-0.0362876 0.703416 2500 
-0.0344036 0.699833 2500 
-0.0283409 0.689465 2500 
-0.0259197 0.683144 2500 
-0.0237947 0.679097 2500 
-0.0177955 0.668729 2500 
-0.0155518 0.662867 2500 
-0.0131885 0.658361 2500 
-0.00725191 0.647993 2500 
-0.00518395 0.644571 2500 
-0.000775868 0.637625 2500 
0.00328999 0.627258 2500 
0.00518395 0.624125 2500 
0.00977395 0.61689 2500 
0.0155518 0.607401 2500 
0.0162676 0.606522 2500 
0.0216406 0.596154 2500 
0.0259197 0.587613 2500 
0.0268788 0.585786 2500 
0.0322406 0.575418 2500 
0.0362876 0.567339 2500 
0.0374875 0.56505 2500 
0.0428384 0.554682 2500 
0.0466555 0.54706 2500 
0.0480936 0.544314 2500 
0.0534343 0.533947 2500 

# Contour 5, label: 
-0.970016 0.513211 2500 
-0.969398 0.513814 2500 
-0.959434 0.523579 2500 
-0.95903 0.523973 2500 
-0.94885 0.533947 2500 
-0.948662 0.53413 2500 
-0.938294 0.544232 2500 
-0.938208 0.544314 2500 
-0.927926 0.554007 2500 
-0.927217 0.554682 2500 
-0.917559 0.563783 2500 
-0.916226 0.56505 2500 
-0.907191 0.573558 2500 
-0.905234 0.575418 2500 
-0.896823 0.583333 2500 
-0.894242 0.585786 2500 
-0.886455 0.593108 2500 
-0.883248 0.596154 2500 
-0.876087 0.602883 2500 
-0.872253 0.606522 2500 
-0.865719 0.612658 2500 
-0.861258 0.61689 2500 
-0.855351 0.622432 2500 
-0.850261 0.627258 2500 
-0.844983 0.632207 2500 
-0.839264 0.637625 2500 
-0.834615 0.641981 2500 
-0.828265 0.647993 2500 
-0.824247 0.649426 2500 
-0.815125 0.658361 2500 
-0.81388 0.659574 2500 
-0.80453 0.668729 2500 
-0.803512 0.66972 2500 
-0.793931 0.679097 2500 
-0.793144 0.679863 2500 
-0.78333 0.689465 2500 
-0.782776 0.690004 2500 
-0.772726 0.699833 2500 
-0.772408 0.700142 2500 
-0.762119 0.710201 2500 
-0.76204 0.710277 2500 
-0.751672 0.72017 2500 
-0.751255 0.720569 2500 
-0.741304 0.729946 2500 
-0.740265 0.730936 2500 
-0.730936 0.739721 2500 
-0.729275 0.741304 2500 
-0.720569 0.749497 2500 
-0.718284 0.751672 2500 
-0.710201 0.759272 2500 
-0.707292 0.76204 2500 
-0.699833 0.769047 2500 
-0.696299 0.772408 2500 
-0.689465 0.778822 2500 
-0.685304 0.782776 2500 
-0.679097 0.785169 2500 
-0.670954 0.793144 2500 
-0.668729 0.795306 2500 
