# subject, condition, condition-id, source marked, offset, avr x/m, avr y/m, avr z/m, avr yaw/rad, avr pitch/rad, avr roll/rad, std x/m, std y/m, std z/m, std yaw/rad, std pitch/rad, std roll/rad
3,16,37,1,-25,-0.010993599891662598,0.030065751075744628,0.0075973689556121824,-0.004332195581359595,-0.01507070083219757,-0.0831469865980681,0.00029058507379206116,7.851445990472966e-05,2.3804113940052632e-05,0.00013574195908569187,0.0005381470890753806,0.0002151548309673498
3,17,56,1,-10,-0.005259960889816284,0.01791336536407471,0.004792857170104981,-0.03641555737928546,-0.006591383361656844,-0.0771046864794964,0.00010591474099863286,5.300409653681754e-05,1.8694069199843844e-05,0.0004921050044321597,0.0001984023818123689,0.0001560344435232554
3,18,33,1,0,-0.046057510375976565,0.023683226108551024,0.005722826719284058,-0.34578190307203394,-0.004927646218749285,-0.059642668304831836,4.85304282755353e-05,0.00013626268462023702,3.8617135449190356e-05,0.00039577968015667596,0.0004924990689299801,0.0006548503442182383
3,19,47,1,5,-0.07951884269714356,0.03663996458053589,0.004420095682144165,-0.5103134800497211,-0.015459178788476613,-0.052688400620805584,0.00013082708954895774,0.00020953399597753807,8.338076032589304e-05,0.00023327748651231112,0.00012950962887941592,0.0005877357847596285
3,20,20,1,20,-0.07176899015903473,0.03200545310974121,0.002881842851638794,-0.5287267992672283,-0.003747225665071411,-0.05547522784625031,0.0003058312235490486,0.0003525024529517729,6.776438433391609e-05,0.0006746351888904778,0.0005138879103345239,0.0009179816799405132
3,21,83,1,15,-0.06716781556606292,0.03309694528579712,0.0003875017166137695,-0.4906313393628259,-0.0017036157975865239,-0.06850547212485135,0.0006171629772479796,9.394300221466227e-05,0.0002636177404789361,0.0012462327905752024,0.0008141258932181488,0.0029159500906354857
3,22,89,1,25,-0.07235446572303772,0.02633512020111084,-0.0004931151866912842,-0.5315761074368444,-0.003626496448909908,-0.06231356071802503,6.938777382975279e-05,3.922250124236115e-05,0.00013038664054030525,0.000204485485230428,0.0002495490665010464,0.0008905566568427548
3,23,10,1,-5,-0.024821919202804566,0.006303250789642334,0.0015688300132751464,-0.24354641238129107,0.004041201378021298,-0.058996489452115775,0.0004050801533727988,0.00015684171242548247,5.729496719313221e-05,0.00017267818974859875,0.00041384936586461084,0.0004559820065129815
3,24,5,1,25,-0.05889386534690857,0.020336222648620606,0.003731054067611694,-0.4710635471904608,0.00205113621485073,-0.053180885730594395,0.00038196573611342006,7.449547123757821e-05,4.420571598284096e-05,0.0007442177193791223,0.0005929107642011272,0.0005856603293524086
3,25,14,1,-30,-0.044117724895477294,0.018808269500732423,-0.0007133841514587403,-0.25236450109842146,-0.010525901552001272,-0.07498916512261122,0.000274298861973637,0.00014703836270999626,7.697411858552069e-05,0.00046729836460728956,0.00035136670504112746,0.0003254494002107493
3,26,88,1,0,-0.08343282341957092,0.023054778575897217,-0.0017895042896270753,-0.511405157617401,-0.009237998578992256,-0.05699291518376015,0.0004978611527420534,0.00012881607395558145,9.682626384084145e-05,0.0005179451986992763,0.00019034310739142016,0.00128614721562046
3,27,75,1,0,-0.006188207864761352,0.017212748527526855,-0.00033246278762817384,-0.054857260472658355,-0.006780273147387222,-0.07908572229123706,2.3195512621509532e-05,7.959191028225546e-05,1.7984111128115674e-05,0.00011996635237777619,0.00021005420115532847,0.00037625646586260224
3,28,58,1,15,-0.11403696238994598,0.054716861248016356,0.00014908313751220702,-0.7618889870082886,-0.015253106724180116,-0.057359609255223265,0.00015652759652409818,0.0003195710555384087,7.536431650136038e-06,0.000773169791537527,9.489959339797403e-05,0.0002560415510492837
3,29,63,1,20,-0.08988139927387237,0.027600979804992674,-0.001455312967300415,-0.599273905955066,-0.006197423088915382,-0.052892653636905006,0.00026125669524857287,8.385738983902439e-05,6.591253159607748e-05,0.0005310225565222835,0.00019273688079521903,0.0006667047955577494
3,30,49,1,5,-0.03391543626785278,7.67827033996582e-05,-0.001026618480682373,-0.2421751195306423,-0.004121438674008741,-0.05643452189760782,0.00017791720329223923,9.44003671545513e-05,5.4706965243840925e-05,8.818212462443046e-05,0.00036379276228436534,0.00014462411919251994
3,31,1,1,-5,0.011984378099441528,0.00509636402130127,-0.0010049581527709962,0.055380847234444086,-0.011622611011608417,-0.06478219117340168,0.0006120405035804841,0.0003513562725378661,0.00018116708030048995,0.0018461304654497205,0.0012305740463727237,0.0025489588558099945
3,32,11,1,-5,-0.04321960210800171,0.015380287170410156,0.0014719903469085694,-0.3240630508869862,-0.002842507303219252,-0.05566737388912725,0.0003160694657120991,0.0005238801602970441,9.066163293473768e-05,0.000894021357303602,0.0007672813777835537,0.0013523539648518375
3,33,4,1,-15,-0.07419058978557587,0.011271202564239502,-0.0040397107601165775,-0.4556495502046244,-0.003748341751510932,-0.054806132476378014,2.925642076379338e-05,4.947863526590815e-05,1.859543506773365e-05,0.0007534649802527923,6.502285108156945e-05,0.0001430640164016481
3,34,12,1,5,-0.005756920576095581,-0.01033405065536499,-0.002504074573516846,-0.09847502298212009,0.002316834185189389,-0.04675890670200178,0.00011043923760669443,7.972622548143931e-05,2.9656820353133906e-05,0.00038323634824226935,0.00014964123586815102,0.0002215573564830878
3,35,1,1,30,-0.09225908219814301,0.013962697982788087,-0.0036469638347625733,-0.5839717203324936,0.0001782950408077044,-0.04042702451787543,0.00021263736458141023,3.3545807563818997e-05,4.0331177551596707e-05,0.00017700854376419986,0.0002421527670752283,0.0007622148383128723
3,36,38,1,5,-0.10746879875659943,0.02456575632095337,-0.005340272188186645,-0.6038257479256195,-0.006797263349637035,-0.04909926335524924,0.00017865505026683277,0.0003492596005162293,5.6184524744265065e-05,0.0007972660055797663,0.00013766170224680885,0.0006887110550042772
3,37,78,1,10,-0.09716266989707947,0.025743353366851806,-0.0054090023040771484,-0.6040665702277503,0.0029547317649763496,-0.05174002570159285,0.00015212073704485443,0.00016145533355809238,9.442436816093244e-06,9.817800428350418e-05,0.0002273584780257688,0.00012844769019400266
3,38,74,1,-15,-0.06799788475036621,0.006373107433319092,-0.005406290292739868,-0.44503587282441465,0.03788343193285194,-0.04201434957819877,0.0001757546673565572,0.00022231081648063262,8.473544074721059e-05,0.00011643086162069948,0.0005297420605145223,0.0009713179662261309
3,39,31,1,20,-0.09881343841552734,0.04374133348464966,-0.0070151805877685545,-0.6365107724967853,0.013704147854374644,-0.07084999715153792,5.057255446556487e-05,0.00014004702516505602,5.3563446646529056e-05,0.00034451663560910637,0.0001269722769692876,0.0005163214677448142
3,40,77,1,25,-0.1342456430196762,0.06278555393218994,-0.00523148775100708,-0.8320771528470383,0.0076886915901270255,-0.05235336331150249,7.088449902386908e-05,0.0002124481135372593,9.28215223659096e-05,0.00032098141408824164,0.0009048283916767026,0.0008304352134420014
3,41,3,1,25,-0.11477074623107911,0.05200783014297485,-0.006715047359466553,-0.7510043692589539,0.008733313892656355,-0.06090715974254206,7.381704956014387e-05,3.487677766279498e-05,5.159946110041292e-05,0.00039040268585730447,0.00015824667509543739,0.00016258256440417586
3,42,18,1,-15,-0.0673348367214203,-0.0021203994750976563,-0.005520480871200562,-0.3321215828065685,0.0011110639945914344,-0.045529792459598775,0.00019649164344653455,0.0001095354581363132,9.349955134725551e-06,0.00014713586893075163,0.0004724958939584835,0.0005026466489338199
3,43,50,1,-25,0.02797565460205078,-0.012948834896087646,-0.003428417444229126,0.19245761196513853,0.0008393456759599972,-0.043901244964565274,0.0004918658157714664,8.83164183846408e-05,9.033485387629376e-05,0.0014088576799016097,0.0011799067414383965,0.0007690809043786723
3,44,1,1,30,-0.10780372619628906,0.02593470811843872,-0.002898538112640381,-0.524638252071132,-0.008506336476747348,-0.03597658656023395,7.68808816440162e-05,6.117270777394098e-05,7.112929318488593e-05,0.00031939981677517093,0.00014488829119089187,0.0002566107396584248
3,45,13,1,10,-0.1276343882083893,0.04338251352310181,-0.005566310882568359,-0.624843677771692,-0.014085648310335635,-0.0469645489777788,0.0001539136899990738,0.00035386858430525546,0.0002495994027201494,0.00014099995005131434,0.0008459223558409516,0.002169398478164359
3,46,2,1,-25,0.052719175815582275,-0.01083921194076538,-0.003677946329116821,0.35632237597917343,-0.0035619187566908253,-0.04794639335752992,0.00013804076965064522,1.3613622576660476e-05,1.5149527429876886e-05,0.00011405073109761959,0.00034440518787907535,0.0002437915879893457
