# Data file generated by gp_save.m
# 
4.5	60497	53238	51136	43465	35205	33160	23793	16723	15123	3383.6
4.6	60233	53238	51136	43465	35205	33031	23729	16650	15048	3334
4.7	60233	52973	51136	43339	35078	33031	23665	16577	14974	3283.1
4.8	60233	52973	50871	43339	35078	32903	23601	16504	14938	3234
4.9	60233	52973	50871	43214	34952	32903	23538	16433	14865	3183.8
5	59970	52973	50871	43214	34952	32777	23444	16361	14793	3135.5
5.1	59970	52711	50871	43090	34826	32777	23382	16291	14721	3086.4
5.2	59970	52711	50608	43090	34826	32651	23320	16256	14686	3039.1
5.3	59970	52711	50608	42967	34702	32651	23258	16187	14615	2991.2
5.4	59710	52711	50608	42967	34702	32526	23166	16118	14545	2945.2
5.5	59710	52452	50608	42844	34578	32526	23105	16049	14476	2901
5.6	59710	52452	50608	42844	34578	32402	23045	15982	14408	2856.3
5.7	59710	52452	50348	42723	34456	32402	22955	15914	14340	2811.2
5.8	59453	52452	50348	42723	34456	32279	22895	15848	14273	2768
5.9	59453	52195	50348	42601	34334	32279	22836	15782	14206	2726.6
6	59453	52195	50348	42601	34334	32157	22747	15716	14140	2683
6.1	59453	52195	50091	42481	34213	32157	22689	15651	14075	2643.1
6.2	59198	52195	50091	42361	34213	32036	22602	15587	14010	2601.4
6.3	59198	51940	50091	42361	34093	32036	22544	15523	13946	2563.1
6.4	59198	51940	50091	42242	34093	31916	22458	15460	13882	2523.1
6.5	59198	51940	49837	42242	33974	31796	22401	15366	13819	2486.4
6.6	58945	51940	49837	42124	33856	31796	22315	15304	13757	2448.4
6.7	58945	51689	49837	42124	33856	31678	22259	15242	13695	2411.9
6.8	58945	51689	49585	42006	33738	31678	22175	15181	13634	2377
6.9	58945	51689	49585	42006	33738	31560	22120	15121	13573	2342.3
7	58694	51689	49585	41890	33622	31560	1520.9	15031	13513	2307.8
7.1	58694	51439	49585	41890	33622	31443	1520.9	14971	13453	2274.8
7.2	58694	51439	49336	41773	33506	31443	1520.9	14913	13394	2242.1
7.3	58694	51439	49336	41658	33506	31328	1520.9	14854	13307	2210.8
7.4	58445	51439	49336	41658	33391	31328	1520.9	14767	13249	2179.8
7.5	58445	51192	49336	41543	33391	31213	1520.9	14710	13191	2150.1
7.6	58445	51192	49089	41543	33277	31098	1520.9	14653	13135	2120.7
7.7	58445	51192	49089	41429	33163	31098	1520.9	14569	13050	2091.7
7.8	58199	51192	49089	41429	33163	30985	1520.9	14513	12995	2063.9
7.9	58199	50948	49089	41315	33051	30985	1520.9	14431	12939	2036.5
8	58199	50948	48844	41315	33051	30873	1520.9	14376	12858	2010.2
8.1	58199	50948	48844	41202	32939	30873	1520.9	14322	12804	1984.3
8.2	57954	50706	48844	41090	32939	30761	1520.9	14241	12750	1959.4
8.3	57954	50706	48844	41090	32828	30650	1520.9	14188	12671	1934.9
8.4	57954	50706	48602	40978	32717	30650	1520.9	14109	12618	1910.8
8.5	57954	50706	48602	40978	32717	30540	1520.9	14031	12540	1887.6
8.6	57712	50466	48602	40867	32608	30540	1520.9	13980	12489	1864.8
8.7	57712	50466	48363	40867	32608	30431	1520.9	13903	12413	1842.4
8.8	57712	50466	48363	40757	32499	30322	1520.9	13852	12362	1820.9
8.9	57472	50466	48363	40647	32391	30322	1520.9	13777	12288	1799.7
9	57472	50228	48363	40647	32391	30215	1520.9	13703	12238	1779.4
9.1	57472	50228	48126	40538	32284	30215	1520.9	13629	12165	1759.5
9.2	57472	50228	48126	40538	32284	30108	1520.9	13580	12093	1739.8
9.3	57234	50228	48126	40430	32177	30001	1520.9	13508	12045	1720.5
9.4	57234	49993	48126	40322	32071	30001	1520.9	13437	11974	1702
9.5	57234	49993	47891	40322	32071	29896	1520.9	13366	11904	1683.8
9.6	57234	49993	47891	40215	31966	29896	1520.9	13296	11835	1665.9
9.7	56998	49760	47891	40215	31966	29791	1520.9	13227	11789	1648.8
9.8	56998	49760	47658	40108	31861	29687	1520.9	13158	11721	1631.6
9.9	56998	49760	47658	40002	31758	29687	1520.9	13090	11654	1615
10	56764	49760	47658	40002	31758	29584	1520.9	13023	11588	1598.8
10.1	56764	49529	47658	39896	31655	29481	1520.9	12957	11522	1582.9
10.2	56764	49529	47428	39896	31552	29481	1520.9	12891	11457	1567.3
10.3	56764	49529	47428	39792	31552	29379	1520.9	12826	11393	1552.1
10.4	56532	49300	47428	39687	31450	29379	1520.9	12762	11330	1537.1
10.5	56532	49300	47428	39687	31450	29278	1520.9	12698	11267	1522.5
10.6	56532	49300	47199	39583	31349	29178	1520.9	12635	11205	1508.2
10.7	56532	49300	47199	39583	31249	29178	1520.9	12552	11144	1494.1
10.8	56302	49074	47199	39480	31249	29078	1520.9	12490	11083	1480.2
10.9	56302	49074	46973	39378	31149	28979	1520.9	12429	11003	1466.8
11	56302	49074	46973	39378	31050	28979	1520.9	12349	10944	1453.5
11.1	56073	48849	46973	39276	31050	28881	1520.9	12289	10886	1440.3
11.2	56073	48849	46973	39276	30952	28783	1520.9	12211	10828	1427.7
11.3	56073	48849	46750	39174	30854	28783	1520.9	12153	10752	1415
11.4	56073	48849	46750	39073	30854	28686	1520.9	12076	10695	1402.8
11.5	55847	48627	46750	39073	30757	28589	1520.9	12019	10621	1390.5
11.6	55847	48627	46528	38973	30660	28589	1520.9	11944	10566	1378.6
11.7	55847	48627	46528	38873	30660	28494	1520.9	11870	10493	1366.9
11.8	55623	48406	46528	38873	30564	28398	1520.9	11815	10440	1355.4
11.9	55623	48406	46308	38774	30469	28398	1520.9	11742	10369	1344
12	55623	48406	46308	38675	30469	28304	1520.9	11671	10299	1333.5
12.1	55623	48406	46308	38675	30374	28210	1520.9	11600	10247	1323.5
12.2	55400	48188	46308	38577	30280	28210	1520.9	11530	10179	1314.2
12.3	55400	48188	46091	38479	30280	28117	1520.9	11461	10112	1305.3
12.4	55400	48188	46091	38479	30186	28024	1520.9	11393	10046	1297
12.5	55179	47972	46091	38382	30093	28024	1520.9	11326	9980	1289
12.6	55179	47972	45875	38382	30093	27932	1520.9	11259	9915.4	1281.5
12.7	55179	47972	45875	38285	30001	27841	1520.9	11193	9851.6	1274.3
12.8	55179	47972	45875	38189	29909	27750	1520.9	11128	9788.6	1267.4
12.9	54961	47757	45875	38189	29909	27750	1520.9	11048	9726.4	1261
