# Data file generated by gp_save.m
# 
581.4	1.7566	1.6765	1.5461	1.5332	1.5284	1.5274	1.5253	1.5241	1.524
592.16	1.8276	1.6786	1.544	1.5309	1.526	1.525	1.5228	1.5216	1.5215
602.93	1.8268	1.8017	1.6583	1.6446	1.6394	1.6385	1.6361	1.6349	1.6347
613.7	1.8464	1.9916	1.8325	1.8173	1.8116	1.8105	1.8079	1.8065	1.8064
624.46	1.8681	1.9812	1.8193	1.804	1.7983	1.7972	1.7946	1.7932	1.7931
635.23	1.8998	1.9773	1.8172	1.8021	1.7964	1.7954	1.7928	1.7915	1.7913
646	2.0355	2.1352	1.959	1.9424	1.9364	1.9351	1.9323	1.9309	1.9307
656.76	2.0237	2.2284	2.0426	2.0253	2.0189	2.0176	2.0147	2.0133	2.0131
667.53	2.0729	2.1944	2.0145	1.9976	1.9913	1.99	1.9872	1.9858	1.9856
678.3	2.1043	2.0564	1.8846	1.8682	1.8624	1.861	1.8584	1.857	1.8568
689.06	2.086	2.0217	1.8502	1.8341	1.8283	1.827	1.8243	1.823	1.8228
699.83	2.0576	2.1262	1.9481	1.9312	1.9252	1.9238	1.9209	1.9196	1.9194
710.6	2.0394	2.1218	1.9423	1.9252	1.9193	1.9178	1.9149	1.9136	1.9134
721.36	2.1222	2.1124	1.9214	1.9037	1.8979	1.8962	1.8934	1.892	1.8918
732.13	2.0811	2.2021	1.9878	1.9696	1.9634	1.9618	1.9589	1.9575	1.9573
742.9	2.08	2.3644	2.1499	2.1318	2.1252	2.1239	2.1206	2.1193	2.1191
753.66	2.1553	2.3805	2.1697	2.1514	2.145	2.1435	2.1402	2.1389	2.1387
764.43	2.2388	2.4208	2.2037	2.1853	2.1788	2.1773	2.174	2.1726	2.1724
775.2	2.31	2.4439	2.2264	2.2078	2.2013	2.1998	2.1964	2.1951	2.1949
785.96	2.3762	2.4434	2.224	2.2055	2.199	2.1975	2.1941	2.1929	2.1927
796.73	2.4204	2.3562	2.1491	2.1316	2.1255	2.1241	2.1208	2.1197	2.1195
807.5	2.4535	2.3524	2.1538	2.1369	2.1309	2.1295	2.1263	2.1252	2.125
818.26	2.5017	2.2815	2.0938	2.0772	2.0714	2.07	2.0668	2.0658	2.0656
829.03	2.4412	2.1875	1.9927	1.9762	1.9708	1.9692	1.9663	1.9653	1.9651
839.79	2.3984	2.3007	2.096	2.0797	2.0741	2.0727	2.0696	2.0687	2.0685
850.56	2.4372	2.3259	2.1336	2.1177	2.1121	2.1109	2.1076	2.1068	2.1066
861.33	2.2731	2.2514	2.0713	2.056	2.0507	2.0494	2.0463	2.0455	2.0453
872.09	2.1267	2.206	2.0393	2.0248	2.0197	2.0185	2.0154	2.0147	2.0145
882.86	2.2029	2.2888	2.115	2.0998	2.0947	2.0933	2.0901	2.0893	2.0892
893.63	2.2735	2.4048	2.2206	2.2047	2.1995	2.198	2.1946	2.1939	2.1937
904.39	2.245	2.4602	2.273	2.2569	2.2517	2.2501	2.2467	2.246	2.2458
915.16	2.2912	2.4107	2.2283	2.2127	2.2077	2.2061	2.2027	2.2021	2.2019
925.93	2.3466	2.3921	2.2177	2.2028	2.1979	2.1964	2.1931	2.1925	2.1924
936.69	2.2821	2.3428	2.1866	2.1723	2.1676	2.1662	2.1629	2.1624	2.1623
947.46	2.2495	2.2819	2.1371	2.1229	2.1184	2.117	2.1137	2.1132	2.1131
958.23	2.2872	2.2037	2.0677	2.0541	2.0498	2.0483	2.0451	2.0448	2.0446
968.99	2.176	2.1726	2.0473	2.034	2.0299	2.0284	2.0252	2.0249	2.0248
979.76	2.092	2.1343	2.0206	2.0075	2.0035	2.002	1.9988	1.9985	1.9984
990.53	2.0976	2.1043	1.9941	1.9808	1.977	1.9754	1.9722	1.972	1.9718
1001.3	2.0826	2.1261	2.0125	1.9993	1.9956	1.9939	1.9907	1.9905	1.9903
1012.1	2.104	2.153	2.0393	2.0258	2.0222	2.0203	2.0171	2.0169	2.0167
1022.8	2.0907	2.158	2.0371	2.0233	2.0198	2.0177	2.0145	2.0143	2.0142
