# Data file generated by gp_save.m
# 
1227.4	0.93997	0.82965	0.93991	0.82966	0.93989	0.82967	0.93922	0.82903	0.93923	0.82904	0.93743	0.82843	0.93729	0.82784
1248.9	0.93435	0.82201	0.93428	0.82201	0.93425	0.82203	0.93368	0.82146	0.93369	0.82148	0.93181	0.82085	0.9317	0.82026
1270.5	0.92886	0.8146	0.92878	0.8146	0.92876	0.81462	0.92827	0.81412	0.92828	0.81414	0.92633	0.81349	0.92625	0.8129
1292	0.92359	0.80748	0.9235	0.80749	0.92347	0.80751	0.92306	0.80708	0.92308	0.80709	0.92105	0.80643	0.92101	0.80583
1313.5	0.91858	0.80072	0.91848	0.80072	0.91845	0.80075	0.91812	0.80038	0.91814	0.80039	0.91603	0.79972	0.91603	0.79911
1335.1	0.9139	0.79436	0.91379	0.79437	0.91376	0.79439	0.9135	0.79408	0.91352	0.79409	0.91132	0.7934	0.91137	0.79279
1356.6	0.90958	0.78845	0.90947	0.78846	0.90944	0.78848	0.90924	0.78822	0.90926	0.78824	0.90698	0.78752	0.90708	0.78691
1378.1	0.90567	0.78302	0.90556	0.78303	0.90552	0.78305	0.90538	0.78284	0.9054	0.78285	0.90304	0.78212	0.90319	0.78151
1399.7	0.9022	0.7781	0.90208	0.7781	0.90204	0.77813	0.90195	0.77795	0.90197	0.77797	0.89952	0.77722	0.89972	0.77661
1421.2	0.89918	0.7737	0.89906	0.7737	0.89902	0.77373	0.89897	0.77359	0.89899	0.77361	0.89645	0.77283	0.89672	0.77222
1442.7	0.89664	0.76983	0.89652	0.76984	0.89648	0.76986	0.89645	0.76975	0.89648	0.76977	0.89384	0.76897	0.89418	0.76836
1464.3	0.89457	0.76651	0.89445	0.76652	0.89441	0.76654	0.89441	0.76645	0.89444	0.76647	0.8917	0.76565	0.89211	0.76504
1485.8	0.89299	0.76372	0.89287	0.76373	0.89283	0.76376	0.89285	0.76368	0.89287	0.7637	0.89004	0.76285	0.89052	0.76225
1507.3	0.89188	0.76147	0.89177	0.76148	0.89173	0.7615	0.89175	0.76144	0.89178	0.76146	0.88884	0.76058	0.88941	0.75998
1528.9	0.89124	0.75974	0.89114	0.75975	0.8911	0.75977	0.89112	0.75971	0.89115	0.75974	0.88811	0.75883	0.88876	0.75823
