
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d.dat', M) binary matrix"

# Contour 0, label:  1.5e+03
-1.26755 0.274749 1500 
-1.27007 0.270309 1500 
-1.27346 0.264381 1500 
-1.27936 0.254013 1500 
-1.28043 0.252107 1500 
-1.28528 0.243645 1500 
-1.2908 0.233904 1500 
-1.29116 0.233278 1500 
-1.29709 0.22291 1500 
-1.30117 0.215704 1500 
-1.30298 0.212542 1500 
-1.30889 0.202174 1500 

# Contour 5, label: 
-0.570715 1.49816 1500 
-0.575418 1.48981 1500 
-0.576589 1.48779 1500 
-0.582519 1.47742 1500 
-0.585786 1.47161 1500 
-0.588419 1.46706 1500 
-0.594316 1.45669 1500 
-0.596154 1.45341 1500 
-0.600239 1.44632 1500 
-0.606105 1.43595 1500 
-0.606522 1.43521 1500 
-0.612052 1.42559 1500 
-0.61689 1.41701 1500 
-0.617926 1.41522 1500 
-0.623857 1.40485 1500 
-0.627258 1.39881 1500 
-0.629755 1.39448 1500 
-0.635655 1.38411 1500 
-0.637625 1.38061 1500 
-0.641576 1.37375 1500 
-0.647447 1.36338 1500 
-0.647993 1.3624 1500 
-0.653389 1.35301 1500 
-0.658361 1.3442 1500 
-0.659263 1.34264 1500 
-0.665195 1.33227 1500 
-0.668729 1.326 1500 
-0.671091 1.32191 1500 
-0.676995 1.31154 1500 
-0.679097 1.3078 1500 
-0.682912 1.30117 1500 
-0.688788 1.2908 1500 
-0.689465 1.2896 1500 
-0.694726 1.28043 1500 
-0.699833 1.27139 1500 
-0.7006 1.27007 1500 
-0.706534 1.2597 1500 
-0.710201 1.25319 1500 
-0.712428 1.24933 1500 
-0.718334 1.23896 1500 
-0.720569 1.23499 1500 
-0.724249 1.2286 1500 
-0.730129 1.21823 1500 
-0.730936 1.21679 1500 
-0.736064 1.20786 1500 
-0.741304 1.19859 1500 
-0.741938 1.19749 1500 
-0.747872 1.18712 1500 
-0.751672 1.18039 1500 
-0.753766 1.17676 1500 
-0.759674 1.16639 1500 
-0.76204 1.16219 1500 
-0.765587 1.15602 1500 
-0.77147 1.14565 1500 
-0.772408 1.14398 1500 
-0.777402 1.13528 1500 
-0.782776 1.12578 1500 
-0.783276 1.12492 1500 
-0.78921 1.11455 1500 
-0.793144 1.10758 1500 
-0.795103 1.10418 1500 
-0.801013 1.09381 1500 
-0.803512 1.08938 1500 
-0.806924 1.08344 1500 
-0.812811 1.07308 1500 
-0.81388 1.07118 1500 
-0.818739 1.06271 1500 
-0.824247 1.05298 1500 
-0.824613 1.05234 1500 
-0.830549 1.04197 1500 
-0.834615 1.03478 1500 
-0.836441 1.03161 1500 
-0.842353 1.02124 1500 
-0.844983 1.01657 1500 
-0.848262 1.01087 1500 
-0.854152 1.0005 1500 
-0.855351 0.998372 1500 
-0.860077 0.990134 1500 
-0.865719 0.980169 1500 
-0.865951 0.979766 1500 
-0.871888 0.969398 1500 
-0.876087 0.961969 1500 
-0.877778 0.95903 1500 
-0.883692 0.948662 1500 
-0.886455 0.943768 1500 
-0.8896 0.938294 1500 
-0.895492 0.927926 1500 
-0.896823 0.925565 1500 
-0.901416 0.917559 1500 
-0.907191 0.907362 1500 
-0.90729 0.907191 1500 
-0.913226 0.896823 1500 
-0.917559 0.889162 1500 
-0.919116 0.886455 1500 
-0.925032 0.876087 1500 
-0.927926 0.870961 1500 
-0.930938 0.865719 1500 
-0.936833 0.855351 1500 
-0.938294 0.852759 1500 

